№	Наименование	Код
	Активы	
1	Денежные средства, драгоценные металлы и камни -всего	101000
1.1.	из них: денежные средства	101100
2	Счета в Банке России и в уполномоченных органах других стран	102000
3	Cчета в кредитных организациях - всего	103000
3.1.	Корреспондентские счета в кредитных организациях - корреспондентах	103100
3.2.	Корреспондентские счета в банках- нерезидентах	103200
4	Ценные бумаги, приобретенные кредитными организациями - всего	104000
4.1.	Вложения в долговые обязательства	104100
4.2.	Вложения в долевые ценные бумаги	104200
4.3.	Учтенные векселя	104300
4.4.	Портфель участия в дочерних и зависимых акционерных обществах	104400
5	Прочее участие в уставных капиталах	105000
6	Производные финансовые инструменты 	106000
7	Кредиты и прочие ссуды - всего	107000
7.1.	Кредиты, депозиты и прочие размещенные средства	107100
7.1.1.	Кредиты нефинансовым организациям	107110
7.1.2.	Кредиты физическим лицам	107120
7.1.3.	Кредиты кредитным организациям	107130
7.1.4.	Прочие кредиты	107140
7.2.	Прочие кредиты и прочие ссуды	107999
8	Основные средства, прочая недвижимость, нематериальные активы и материальные запасы	108000
9	Использование прибыли	109000
9.1.	из нее: налог на прибыль	109100
10	Прочие активы	199000
 		
	Просроченная задолженность - справочно	
к 7.1.	Просрочннная задолженность всего	307101
к 7.1.1.	Просроченная задолженность (нефинансовые организации)	307112
к 7.1.2.	Просроченная задолженность (физические лица)	307122
к 7.1.3.	Просроченная задолженность (кредитные организации)	307132
	 	
	Пассивы	
1	Фонды и прибыль кредитных организаций - всего	201000
1.1.	Фонды  	201100
1.1.1.	Уставный капитал	201110
1.1.2.	Резервный фонд	201120
1.1.3.	Другие фонды	201130
1.2.	Прибыль (убыток) с учетом финансовых результатов прошлого года	201200
1.2.1.	Прибыль (убыток) текущего года	201210
1.2.2.	Нераспределенная прибыль	201220
2	Кредиты, депозиты и прочие привлеченные средства, полученные кредитными организациями от Банка России	202000
3	Счета кредитных организаций - всего	203000
3.1.	Корреспондентские счета кредитных организаций-корреспондентов	203100
3.2.	Корреспондентские счета банков-нерезидентов	203200
3.3.	Прочие счета кредитных организаций	203999
4	Кредиты, депозиты и прочие средства, полученные от других кредитных организаций - всего	204000
5	Средства клиентов	205000
5.1.	Средства бюджетов на расчетных счетах	205100
5.2.	Средства государственных и других внебюджетных фондов на расчетных счетах	205200
5.3.	Cредства организаций на расчетных и прочих счетах	205300
5.4.	Cредства клиентов в расчетах	205400
5.5.	Депозиты и прочие привлеченные средства юридических лиц (кроме кредитных организаций)	205500
5.5.1.	Депозиты Федерального Казначейства	205510
5.5.2.	Привлеченные средства юр. лиц-нерезидентов (> 3 лет) - евробонды	205520
5.5.3.	Прочие депозиты и привлеченные средства	205530
5.6.	Вклады физических лиц	205600
5.7.	Средства клиентов по факторинговым, форфейтинговым операциям	205700
5.8.	Прочие средства клиентов	205999
6	Облигации	206000
7	Векселя и банковские акцепты	207000
8	Производные финансовые инструменты	208000
9	Резервы на возможные потери	209000
9.1.	Резервы по вложеним в долевые ценные бумаги	209100
9.2.	Резервы по вложеним в долговые ценные бумаги	209200
9.3.	Резервы по учтенным векселям	209300
9.4.	Резервы по портфелю участия в ДЗО	209400
9.5.	Резервы по кредитам банкам	209500
9.6.	Резервы по кредитам нефинансовым организациям	209600
9.7.	Резервы по кредитам физическим лицам	209700
9.8.	Прочие резервы по кредитам, депозитам и прочим размещенным средствам 	209800
9.9.	Прочие резервы	209900
10	Прочие пассивы	299000
