cpart	regn	line	01.01.2012	01.02.2012	01.03.2012	01.04.2012	01.05.2012	01.06.2012	01.07.2012	01.08.2012	01.09.2012	01.10.2012	01.11.2012	01.12.2012	01.01.2013	01.02.2013	01.03.2013	01.04.2013	01.05.2013	01.06.2013	01.07.2013	01.08.2013	01.09.2013	01.10.2013	01.11.2013	01.12.2013	01.01.2014	01.02.2014	01.03.2014	01.04.2014	01.05.2014	01.06.2014	01.07.2014	01.08.2014	01.09.2014	01.10.2014	01.11.2014	01.12.2014	01.01.2015	01.02.2015
itogo	354	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itogo	354	100000	2491106197	2459515923	2436243140	2441260505	2444046246	2560069235	2662316904	2821060689	2766579156	2785304419	2841453262	2855918352	2864351317	2897000369	2901795103	3289488708	3177060436	3241907504	3272961795	3329471876	3294749730	3441699524	3453667813	3570989713	3676957056	3831771891	3968007850	3960272083	3952716270	3964968075	3860931397	3956660143	3954390343	4059227295	4279511745	4607423443	4784023724	5316197328
itogo	354	101000	29244445	30546615	29608000	27957715	27700951	24901696	27662524	25618806	28797303	29094805	28098067	29553547	36962262	30065908	30930809	30724760	34213869	31303888	32184612	31009328	31534280	32784349	33724327	35127345	43427398	37206938	37128977	93913306	101048487	93423584	91683605	94032223	96843425	93885638	103732564	115238629	167993413	186063171
itogo	354	101100	28648681	29779419	28773308	26951862	26877300	24213888	26529329	24432250	26452144	27658370	26107785	28373842	36099849	28533849	29575577	29160002	32865695	28954739	30762612	29241613	30532903	30955965	32710530	34536838	41320064	36124793	35551679	92685168	99883534	92014803	89399834	90612746	91784902	92930126	101598081	113277286	164613965	176291873
itogo	354	101900	595764	767196	834692	1005853	823651	687808	1133195	1186556	2345159	1436435	1990282	1179705	862413	1532059	1355232	1564758	1348174	2349149	1422000	1767715	1001377	1828384	1013797	590507	2107334	1082145	1577298	1228138	1164953	1408781	2283771	3419477	5058523	955512	2134483	1961343	3379448	9771298
itogo	354	102000	144708802	106814979	98321384	77012033	58818065	57506443	80849100	54898946	43835397	78561428	78450369	51014072	187421563	73700621	72263339	155458669	79070776	78973757	135714138	63634680	74159726	133112511	74080974	63744341	124093773	115093198	93260453	353787125	77870313	60660081	120750498	97714596	72031773	87898746	68133874	103426700	146664696	185439088
itogo	354	103000	108214507	67671518	68586239	53168924	17985721	36805796	75506451	173025951	119997360	145237269	150045617	166728778	92053576	161207255	99454887	191184288	121016675	157207196	111665040	130903683	98203826	103885109	72097527	117373873	135759615	138459477	181859499	119037081	147107921	188975772	153022736	73366807	70426433	90266696	72526276	84416075	80800543	96807801
itogo	354	103100	552026	490782	256929	65031	1385417	118518	220340	21291439	194191	2410048	113945	16203657	8824823	8798642	8793378	10194396	10505491	10356205	11231674	297660	369654	579223	191682	139696	563021	294750	602208	464458	673390	855732	1069665	627419	270683	917812	1199545	734065	1144670	1436515
itogo	354	103200	107662481	67180736	68329310	53103893	16600304	36687278	75286111	151734512	119803169	142827221	149931672	150525121	83228753	152408613	90661509	180989892	110511184	146850991	100433366	130606023	97834172	103305886	71905845	117234177	135196594	138164727	181257291	118572623	146434531	188120040	151953071	72739388	70155750	89348884	71326731	83682010	79655873	95371286
itogo	354	104000	517806488	510797996	509048771	518107970	483001908	527059711	538993627	536456517	546692563	534823434	510801930	512401990	532913894	516624409	525452126	571427843	619084455	622437168	662937150	628952505	648415044	646331140	659537702	677860537	685884054	660092442	652680330	673024347	676175548	674457591	639167585	630249403	611831455	584388505	588616497	616203647	602815825	646936556
itogo	354	104100	378222657	371753696	357989873	344308548	345026346	368757135	381726520	379210069	382926634	370322923	345912773	331012538	355686867	339228287	348881582	401496155	440775098	442105391	474925922	462572809	458319757	461983893	457905096	465788862	474060008	458167910	462676577	458050198	449232177	463872902	430486207	422370763	401306618	380910396	382900126	409200064	402433526	441960673
itogo	354	104200	115515810	115383257	118171551	119408540	104950038	105030963	103878251	104502248	109724178	109564778	108024506	109155505	104052872	103671562	103763218	103481262	103131167	104939522	107570202	106723558	108673226	113529487	134216228	146989820	148295354	139732488	128046592	117091843	37495167	40187366	38496561	36748222	36700938	37997198	40591366	35671856	34307621	36718570
itogo	354	104300	2224523	2178916	11644691	33061431	11829328	31672620	31694193	31275750	30860972	32028955	33794730	49306493	50359593	51105309	50113827	43749212	52608178	52864955	57508883	37437290	59093506	47757436	44421556	41614255	40173254	37955494	37446400	36119518	36081748	18357388	17970785	17821171	18345177	9080008	6528385	7418556	7855194	9207754
itogo	354	104400	21843498	21482127	21242656	21329451	21196196	21598993	21694663	21468450	23180779	22906778	23069921	22927454	22814562	22619251	22693499	22701214	22570012	22527300	22932143	22218848	22328555	23060324	22994822	23467600	23355438	24236550	24510761	61762788	153366456	152039935	152214032	153309247	155478722	156400903	158596620	163913171	158219484	159049559
itogo	354	105000	3940234	3940052	3939939	3939966	3944049	3894377	3894560	4086184	4086391	4086274	4086431	4526807	4835812	4835872	4835772	4835721	4329592	12805408	12805781	9599778	9599864	9599787	9612881	9713111	9713065	9713719	9713985	10713923	15714019	20007522	23707216	16531866	16627018	16627299	16628295	17125229	14425229	22093229
itogo	354	106000	0	1440917	1412438	1215783	1259962	4760162	4602993	3837582	6138158	3807976	4354819	2954131	4975393	4779887	5175491	4455506	3972476	4303337	6602372	5827099	6842475	5982059	6951044	6669898	7592728	18366337	18317921	15992295	12791042	12012995	10658535	11783816	13010784	17838307	27702713	40953678	48431604	69769198
itogo	354	107000	1627193685	1682501276	1662697647	1698895056	1782431372	1835163589	1854809771	1913683505	1929141051	1896260126	1969641504	1991311944	1918774394	2012542154	2067553730	2200008628	2223355599	2247125666	2230467531	2358740167	2328734594	2419477726	2507417220	2570139631	2542096391	2747947459	2861376811	2575553317	2626706638	2623312547	2606517126	2678857147	2818823829	2884773326	3021336979	3242950282	3252927905	3597724387
itogo	354	107100	1620441611	1676352064	1656301507	1692457858	1775761295	1825821713	1844585476	1902687243	1917462893	1884949539	1958024188	1980016206	1907791808	2000711202	2056688140	2187936063	2212036839	2236110819	2219640667	2347345214	2313798468	2405851752	2494521302	2558907870	2531110868	2735248569	2848724727	2563500897	2614862598	2611258944	2595558784	2667130016	2806489153	2872539395	3008508284	3228086983	3236969399	3579600673
