cpart	regn	line	01.01.2012	01.02.2012	01.03.2012	01.04.2012	01.05.2012	01.06.2012	01.07.2012	01.08.2012	01.09.2012	01.10.2012	01.11.2012	01.12.2012	01.01.2013	01.02.2013	01.03.2013	01.04.2013	01.05.2013	01.06.2013	01.07.2013	01.08.2013	01.09.2013	01.10.2013	01.11.2013	01.12.2013	01.01.2014	01.02.2014	01.03.2014	01.04.2014	01.05.2014	01.06.2014	01.07.2014	01.08.2014	01.09.2014	01.10.2014	01.11.2014	01.12.2014	01.01.2015	01.02.2015
iv	354	500	55856967	41759122	86210082	77508772	72644886	90003404	64540474	78768690	67700106	60103805	34311781	39796795	-10504399	30516579	67563911	50735131	18091764	44695408	-13147829	-7317734	-19224291	-14619147	-60089830	-69230663	-15536318	16511771	15253575	8985809	30797149	81760213	82413240	117680079	47187820	-23999482	14466406	-304599	87347	-19334636
iv	354	100000	897239351	932949690	878371582	872931154	814405262	956812059	930699775	1078116496	1007567376	978293337	998963879	1055660582	948495779	1077505151	1082008773	1344778230	1318396861	1332002767	1269984171	1292169883	1220814236	1278946337	1225077847	1342324378	1434707481	1539515591	1648256802	1655545585	1613475286	1629631899	1487042068	1602389977	1567197486	1654388648	1870461205	2028426079	2284507974	2721527684
iv	354	101000	4428984	10402638	10160729	8108217	5464205	4644719	5667061	5153052	6845374	5963043	6687290	6126147	5540957	6123649	6501533	6430829	6368589	7290144	6648535	6995740	6696758	7375320	7006559	7953973	8516724	8954329	9573218	65975977	68304997	65063061	63714312	65706991	67089452	65777195	72676237	84531317	123226710	153058117
iv	354	101100	3833220	9635442	9326037	7102364	4640554	3956911	4533866	3966496	4500215	4526608	4697008	4946442	4678544	4591590	5146301	4866071	5020415	4940995	5226535	5228025	5695381	5546936	5992762	7363466	6409390	7872184	7995920	64747839	67140044	63654280	61430541	62287514	62030929	64821683	70541754	82569974	119847262	143286819
iv	354	101900	595764	767196	834692	1005853	823651	687808	1133195	1186556	2345159	1436435	1990282	1179705	862413	1532059	1355232	1564758	1348174	2349149	1422000	1767715	1001377	1828384	1013797	590507	2107334	1082145	1577298	1228138	1164953	1408781	2283771	3419477	5058523	955512	2134483	1961343	3379448	9771298
iv	354	102000	0	0	0	0	0	0	0	11854198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1552814	0	0	0	0	248244770	0	0	0	0	0	0	0	0	939404	0
iv	354	103000	107602628	66738497	68340796	53048403	17732100	36726674	74614463	171255830	119816548	145086479	149940175	166616038	91992754	161069074	98253032	190758402	120518922	156934691	111265273	129506295	97701981	103262655	71804967	117217257	135251503	137923677	181358545	118610840	146452878	188764733	151987274	72829911	70155380	89343398	71752001	83532472	80315271	95693836
iv	354	103100	242201	29868	11584	11316	1132169	40683	12058	19913837	13381	2259259	8505	16093104	8764002	8660481	8552685	9927270	10200914	10241293	11001669	81719	76866	67480	64382	67322	66281	86978	108113	88353	103351	656341	101050	91052	89878	121892	655225	195203	702209	603549
iv	354	103200	107360427	66708629	68329212	53037087	16599931	36685991	74602405	151341993	119803167	142827220	149931670	150522934	83228752	152408593	89700347	180831132	110318008	146693398	100263604	129424576	97625115	103195175	71740585	117149935	135185222	137836699	181250432	118522487	146349527	188108392	151886224	72738859	70065502	89221506	71096776	83337269	79613062	95090287
iv	354	104000	109386973	103428154	99166994	121672514	97641770	134446038	136378611	129655942	135003641	131190608	116700501	132347773	130197870	129703975	129596424	169260103	209488354	216107067	227180689	194677635	230300345	216665073	207442203	209118403	219976775	211053185	215781999	210062602	212678366	207515508	177697641	183709565	168425840	178604166	187617198	185300075	212082049	257236565
iv	354	104100	96400808	91160466	87355701	88592181	85713770	101497307	103007007	96382421	100615714	91587575	74937486	74128905	72624447	72130176	70801777	116766377	148037050	148821770	153569731	139962452	151875407	150324085	147160863	151078084	159257951	149897711	152894789	152698404	147473954	161780184	132737957	137212534	120800407	138250583	142280534	166228848	191793564	232898029
iv	354	104200	4606530	4249424	4032500	4078485	4062520	4949259	4910548	5685264	4752032	4806390	5066014	4711468	4805437	5201699	5806709	5962747	8791760	14129808	14629160	14343117	15919767	14546122	14589661	15311238	19056619	19005951	19720866	14566446	12390077	11976836	11411116	12125855	12271881	13260513	15690051	14639356	15229483	18476772
iv	354	104300	0	0	0	21136260	0	19731195	20097109	19450523	19785832	25220581	26957796	43910662	43284140	43083565	43625155	37160481	43126131	43664788	49086254	30026669	52050067	40607993	34570308	31255414	30300700	29985642	30728252	30481831	30552376	12823050	12439033	12166426	12601007	3447235	3805061	4431871	5059002	5861764
iv	354	104400	8379635	8018264	7778793	7865588	7865480	8268277	8363947	8137734	9850063	9576062	9739205	9596738	9483846	9288535	9362783	9370498	9533413	9490701	9895544	10345397	10455104	11186873	11121371	11473667	11361505	12163881	12438092	12315921	22261959	20935438	21109535	22204750	22752545	23645835	25841552	0	0	0
iv	354	105000	4460	4278	4165	4192	8275	8603	8786	8410	8617	8500	8657	8549	8554	8614	8514	8463	8683	8710	9083	9272	9358	9281	9368	9608	9562	10226	10492	10430	10526	10050	9744	10184	10340	10621	11617	0	0	0
iv	354	106000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	107000	661803747	741383388	688848901	679122275	681954355	766894627	700142526	708963367	715864265	659870069	688806413	715252150	698258491	750793943	818448516	920306592	952701456	927516285	908246487	926613545	856921032	929344232	915378839	989207174	1019436858	1151268605	1204480642	953059075	951024263	943872895	944804767	991208732	1077527390	1105170827	1229259131	1379594798	1476513916	1777548538
iv	354	107100	656449460	736579122	683814809	674164404	676917522	758830225	691198502	699308321	705746745	649989564	678747014	705514890	688834112	740330485	808595182	909811973	942959513	917911113	898358771	916397110	846980537	920474132	906881114	981230486	1011328562	1142463355	1196622394	945815470	943776777	936682408	938371694	984471756	1070183867	1098174444	1221284623	1370163631	1465987542	1764856956
iv	354	107110	416596372	423584772	408142750	406507564	479387952	534051356	540092832	546560249	566136583	549365737	552406197	515212492	587797482	581897920	605339756	622654930	679195178	693789977	720971897	694096779	707985110	729181347	756089075	748301546	813030485	868995033	883055210	870130508	845563641	851932373	813869717	879163856	914141268	926969127	1030260909	1147437683	1269541301	1539152326
iv	354	107120	8509420	7875219	7366876	7279541	7210283	4588119	4636848	4592489	4545522	4179870	4074575	3909136	3686848	3542985	3549887	3676016	3647133	3778032	3541299	3345577	3329481	3173384	3081011	3674211	3156844	3291041	3768190	3091410	2997189	2783466	2585262	2692043	2681984	2797389	3109008	3344533	3633106	4373585
iv	354	107130	225711368	299778857	263181145	255313196	185557896	215521509	142170658	143999134	131060832	92936334	119381080	183258957	94181096	151758213	196910662	280805236	257394723	217635210	171010940	215923877	132606932	185044411	129082594	209992852	181691841	255735241	294995878	58796392	65551152	52515650	64606765	41819598	38200290	47853187	55563916	69480682	46938862	48902343
iv	354	107140	5632300	5340274	5124038	5064103	4761391	4669241	4298164	4156449	4003808	3507623	2885162	3134305	3168686	3131367	2794877	2675791	2722479	2707894	2834635	3030877	3059014	3074990	18628434	19261877	13449392	14442040	14803116	13797160	29664795	29450919	57309950	60796259	115160325	120554741	132350790	149900733	145874273	172428702
iv	354	107900	5354287	4804266	5034092	4957871	5036833	8064402	8944024	9655046	10117520	9880505	10059399	9737260	9424379	10463458	9853334	10494619	9741943	9605172	9887716	10216435	9940495	8870100	8497725	7976688	8108296	8805250	7858248	7243605	7247486	7190487	6433073	6736976	7343523	6996383	7974508	9431167	10526374	12691582
iv	354	108000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	109000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	109100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	109900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	198000	38223	16791	27493	23928	0	22649	16474	0	28075	10036	25089	22296	17819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1251173	104337	15744458	122078	0	290322	3432707	63474	69440	42577
iv	354	199000	13974336	10975944	11822504	10951625	11604557	14068749	13871854	51225697	30000856	36164602	36795754	35287629	22479334	29805896	29200754	58013841	29310857	24145870	16634104	34367396	29184762	22289776	21883097	18817963	51516059	30305569	37051906	59581891	233753083	224301315	133083872	288802516	183989084	215192119	305712314	295403943	391361184	437948051
iv	354	200000	841382384	891190568	792161500	795422382	741760376	866808655	866159301	999347806	939867270	918189532	964652098	1015863787	959000178	1046988572	1014444862	1294043099	1300305097	1287307359	1283132000	1299487617	1240038527	1293565484	1285167677	1411555041	1450243799	1523003820	1633003227	1646559776	1582678137	1547871686	1404628828	1484709898	1520009666	1678388130	1855994799	2028730678	2284420627	2740862320
iv	354	201000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	201100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	201110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	201120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	201130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	201200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	201210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	201220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	201900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	354	202000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4617690	110366286	328
iv	354	203000	4988341	4403708	3024749	5288686	3370135	3488445	3024799	14292581	6330222	5256312	6772437	21551541	5242633	5975916	10735089	14064631	7672262	9338730	14229276	9743498	8546892	8529549	8534691	12853398	12895890	16631793	15012264	9917194	4424253	5149592	10935381	5795212	7852207	9535318	5529600	6412731	6578513	22001478
