REGN	PLAN	NUM_SC	A_P	VR	VV	VITG	ORA	OVA	OITGA	ORP	OVP	OITGP	IR	IV	IITG	DT	PRIZ
1.0	À	10605	1	3047.0	0.0	3047.0	171876.0	0.0	171876.0	168953.0	0.0	168953.0	5970.0	0.0	5970.0	2013-01-01	1.0
1.0	À	20202	1	2241060.0	1289121.0	3530181.0	26770251.0	5437823.0	32208074.0	26101073.0	5267691.0	31368764.0	2910238.0	1459253.0	4369491.0	2013-01-01	1.0
1.0	À	20208	1	3075021.0	343987.0	3419008.0	14343238.0	1736325.0	16079563.0	14294999.0	1793208.0	16088207.0	3123260.0	287104.0	3410364.0	2013-01-01	1.0
1.0	À	20209	1	141508.0	42789.0	184297.0	8439072.0	2799261.0	11238333.0	8115242.0	2780719.0	10895961.0	465338.0	61331.0	526669.0	2013-01-01	1.0
1.0	À	20210	1	0.0	40.0	40.0	0.0	1.0	1.0	0.0	41.0	41.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	30102	1	4651947.0	0.0	4651947.0	2386482149.0	0.0	2386482149.0	2375441713.0	0.0	2375441713.0	15692383.0	0.0	15692383.0	2013-01-01	1.0
1.0	À	30110	1	257142.0	50578.0	307720.0	5682341.0	1540540.0	7222881.0	5242711.0	1548736.0	6791447.0	696772.0	42382.0	739154.0	2013-01-01	1.0
1.0	À	30114	1	1052.0	18201683.0	18202735.0	0.0	1465991687.0	1465991687.0	0.0	1458710369.0	1458710369.0	1052.0	25483001.0	25484053.0	2013-01-01	1.0
1.0	À	30202	1	2655764.0	0.0	2655764.0	263847.0	0.0	263847.0	0.0	0.0	0.0	2919611.0	0.0	2919611.0	2013-01-01	1.0
1.0	À	30204	1	3808308.0	0.0	3808308.0	0.0	0.0	0.0	86054.0	0.0	86054.0	3722254.0	0.0	3722254.0	2013-01-01	1.0
1.0	À	30210	1	0.0	0.0	0.0	235400.0	0.0	235400.0	235400.0	0.0	235400.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	30213	1	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	30221	1	0.0	0.0	0.0	312919.0	0.0	312919.0	312919.0	0.0	312919.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	30233	1	131311.0	65746.0	197057.0	17062244.0	2726041.0	19788285.0	17108831.0	2718593.0	19827424.0	84724.0	73194.0	157918.0	2013-01-01	1.0
1.0	À	30302	1	113482968.0	15544457.0	129027425.0	91786289.0	41057710.0	132843999.0	91977753.0	41502184.0	133479937.0	113291504.0	15099983.0	128391487.0	2013-01-01	1.0
