REGN	PLAN	NUM_SC	ITOGO	A_P	DT
101	À	10207	1558500.0	2	2013-01-01
101	À	10602	60200.0	2	2013-01-01
101	À	10603	64338.0	2	2013-01-01
101	À	10605	9533.0	1	2013-01-01
101	À	10701	29786.0	2	2013-01-01
101	À	10801	383634.0	2	2013-01-01
101	À	20202	1370874.0	1	2013-01-01
101	À	20208	72700.0	1	2013-01-01
101	À	20209	148970.0	1	2013-01-01
101	À	30102	337080.0	1	2013-01-01
101	À	30110	79986.0	1	2013-01-01
101	À	30114	374775.0	1	2013-01-01
101	À	30126	579.0	2	2013-01-01
101	À	30202	75468.0	1	2013-01-01
101	À	30204	32052.0	1	2013-01-01
101	À	30210	0.0	1	2013-01-01
101	À	30221	0.0	1	2013-01-01
101	À	30226	952.0	2	2013-01-01
101	À	30232	0.0	2	2013-01-01
101	À	30233	1863.0	1	2013-01-01
101	À	30301	5741623.0	2	2013-01-01
101	À	30302	5741623.0	1	2013-01-01
101	À	30402	1825236.0	1	2013-01-01
101	À	30404	0.0	1	2013-01-01
101	À	30408	0.0	2	2013-01-01
101	À	30409	0.0	1	2013-01-01
101	À	30601	0.0	2	2013-01-01
101	À	30602	3227.0	1	2013-01-01
101	À	30607	0.0	2	2013-01-01
101	À	31201	0.0	2	2013-01-01
101	À	31302	0.0	2	2013-01-01
101	À	31303	0.0	2	2013-01-01
101	À	31304	30000.0	2	2013-01-01
101	À	31501	0.0	2	2013-01-01
101	À	31502	0.0	2	2013-01-01
101	À	31503	0.0	2	2013-01-01
101	À	31902	0.0	1	2013-01-01
101	À	32002	0.0	1	2013-01-01
101	À	32003	0.0	1	2013-01-01
101	À	32015	0.0	2	2013-01-01
101	À	32201	0.0	1	2013-01-01
101	À	32202	0.0	1	2013-01-01
101	À	32203	0.0	1	2013-01-01
101	À	32204	31756.0	1	2013-01-01
101	À	32211	7621.0	2	2013-01-01
101	À	32901	948488.0	2	2013-01-01
101	À	32902	207511.0	1	2013-01-01
101	À	40502	54.0	2	2013-01-01
101	À	40602	2.0	2	2013-01-01
101	À	40701	5483168.0	2	2013-01-01
101	À	40702	2502157.0	2	2013-01-01
101	À	40703	8907.0	2	2013-01-01
101	À	40802	8062.0	2	2013-01-01
101	À	40807	1316939.0	2	2013-01-01
101	À	40817	630647.0	2	2013-01-01
101	À	40820	68845.0	2	2013-01-01
101	À	40903	0.0	2	2013-01-01
101	À	40911	132.0	2	2013-01-01
101	À	42002	13350.0	2	2013-01-01
101	À	42006	374700.0	2	2013-01-01
101	À	42104	6000.0	2	2013-01-01
101	À	42106	100000.0	2	2013-01-01
101	À	42107	90.0	2	2013-01-01
101	À	42301	10305.0	2	2013-01-01
101	À	42302	55228.0	2	2013-01-01
101	À	42303	252533.0	2	2013-01-01
101	À	42304	134156.0	2	2013-01-01
101	À	42305	166965.0	2	2013-01-01
101	À	42306	204072.0	2	2013-01-01
101	À	42310	7.0	2	2013-01-01
101	À	42313	7.0	2	2013-01-01
101	À	42314	14.0	2	2013-01-01
101	À	42604	800.0	2	2013-01-01
101	À	42605	550.0	2	2013-01-01
101	À	42606	1960.0	2	2013-01-01
101	À	43702	2233929.0	2	2013-01-01
101	À	44002	0.0	2	2013-01-01
101	À	45201	0.0	1	2013-01-01
101	À	45505	6438.0	1	2013-01-01
101	À	45506	48245.0	1	2013-01-01
101	À	45507	91268.0	1	2013-01-01
101	À	45509	47.0	1	2013-01-01
101	À	45515	2849.0	2	2013-01-01
101	À	45812	7999.0	1	2013-01-01
101	À	45815	6078.0	1	2013-01-01
101	À	45818	14210.0	2	2013-01-01
101	À	45915	2.0	1	2013-01-01
101	À	47002	725948.0	1	2013-01-01
101	À	47008	40606.0	2	2013-01-01
101	À	47403	0.0	2	2013-01-01
101	À	47404	100756.0	1	2013-01-01
101	À	47405	420390.0	2	2013-01-01
101	À	47406	0.0	1	2013-01-01
101	À	47407	0.0	2	2013-01-01
101	À	47408	0.0	1	2013-01-01
101	À	47411	6603.0	2	2013-01-01
101	À	47416	225.0	2	2013-01-01
101	À	47422	41.0	2	2013-01-01
101	À	47423	1974.0	1	2013-01-01
101	À	47425	765.0	2	2013-01-01
101	À	47426	14029.0	2	2013-01-01
101	À	47427	1315.0	1	2013-01-01
101	À	50205	332659.0	1	2013-01-01
101	À	50206	335278.0	1	2013-01-01
101	À	50207	2490859.0	1	2013-01-01
101	À	50208	3563985.0	1	2013-01-01
101	À	50210	46611.0	1	2013-01-01
101	À	50211	1052935.0	1	2013-01-01
101	À	50218	3263550.0	1	2013-01-01
101	À	50220	9533.0	2	2013-01-01
101	À	50221	64338.0	1	2013-01-01
101	À	50605	2232.0	1	2013-01-01
101	À	50606	162919.0	1	2013-01-01
101	À	50621	160043.0	1	2013-01-01
101	À	50706	10.0	1	2013-01-01
101	À	50718	0.0	1	2013-01-01
101	À	50719	10.0	2	2013-01-01
101	À	50720	0.0	2	2013-01-01
101	À	50721	0.0	1	2013-01-01
101	À	50908	0.0	2	2013-01-01
101	À	52601	459.0	1	2013-01-01
101	À	52602	0.0	2	2013-01-01
101	À	60301	2818.0	2	2013-01-01
101	À	60302	126.0	1	2013-01-01
101	À	60305	0.0	2	2013-01-01
101	À	60306	8999.0	1	2013-01-01
101	À	60307	0.0	2	2013-01-01
101	À	60308	98.0	1	2013-01-01
101	À	60309	0.0	2	2013-01-01
101	À	60310	4838.0	1	2013-01-01
101	À	60311	982.0	2	2013-01-01
101	À	60312	27999.0	1	2013-01-01
101	À	60313	288.0	2	2013-01-01
101	À	60314	2737.0	1	2013-01-01
101	À	60322	8.0	2	2013-01-01
101	À	60323	11050.0	1	2013-01-01
101	À	60324	19454.0	2	2013-01-01
101	À	60401	168768.0	1	2013-01-01
101	À	60404	3000.0	1	2013-01-01
101	À	60405	8670.0	2	2013-01-01
101	À	60408	9598.0	1	2013-01-01
101	À	60409	68186.0	1	2013-01-01
101	À	60601	65771.0	2	2013-01-01
101	À	60602	1352.0	2	2013-01-01
101	À	60603	10838.0	2	2013-01-01
101	À	60701	6839.0	1	2013-01-01
101	À	61002	0.0	1	2013-01-01
101	À	61008	4080.0	1	2013-01-01
101	À	61009	272.0	1	2013-01-01
101	À	61209	0.0	1	2013-01-01
101	À	61210	0.0	1	2013-01-01
101	À	61304	54.0	2	2013-01-01
101	À	61403	100781.0	1	2013-01-01
101	À	61601	0.0	1	2013-01-01
101	À	70601	16295870.0	2	2013-01-01
101	À	70602	104676.0	2	2013-01-01
101	À	70603	8369725.0	2	2013-01-01
101	À	70606	16088627.0	1	2013-01-01
101	À	70607	10715.0	1	2013-01-01
101	À	70608	8462764.0	1	2013-01-01
101	À	70611	23100.0	1	2013-01-01
101	À	70613	2341.0	2	2013-01-01
101	À	70614	10229.0	1	2013-01-01
101	Â	90701	23.0	1	2013-01-01
101	Â	90705	2.0	1	2013-01-01
101	Â	90901	135196.0	1	2013-01-01
101	Â	90902	24111.0	1	2013-01-01
101	Â	91003	0.0	2	2013-01-01
101	Â	91202	1.0	1	2013-01-01
101	Â	91203	0.0	1	2013-01-01
101	Â	91207	1.0	1	2013-01-01
101	Â	91312	16483.0	2	2013-01-01
101	Â	91314	736174.0	2	2013-01-01
101	Â	91317	113.0	2	2013-01-01
101	Â	91411	0.0	1	2013-01-01
101	Â	91414	9867.0	1	2013-01-01
101	Â	91417	0.0	1	2013-01-01
101	Â	91501	100554.0	1	2013-01-01
101	Â	91507	78157.0	2	2013-01-01
101	Â	91604	7819.0	1	2013-01-01
101	Â	91704	1.0	1	2013-01-01
101	Â	91802	101.0	1	2013-01-01
101	Â	91803	20.0	1	2013-01-01
101	Ã	93001	1049357.0	1	2013-01-01
101	Ã	93002	14340.0	1	2013-01-01
101	Ã	93202	0.0	1	2013-01-01
101	Ã	93301	0.0	1	2013-01-01
101	Ã	93302	0.0	1	2013-01-01
101	Ã	93306	226872.0	1	2013-01-01
101	Ã	93307	0.0	1	2013-01-01
101	Ã	93308	2061172.0	1	2013-01-01
101	Ã	93506	0.0	1	2013-01-01
101	Ã	93507	0.0	1	2013-01-01
101	Ã	93801	6443.0	1	2013-01-01
101	Ã	93803	0.0	1	2013-01-01
101	Ã	96001	1048517.0	2	2013-01-01
101	Ã	96002	14275.0	2	2013-01-01
101	Ã	96201	0.0	2	2013-01-01
101	Ã	96202	0.0	2	2013-01-01
101	Ã	96301	0.0	2	2013-01-01
101	Ã	96302	0.0	2	2013-01-01
101	Ã	96306	227375.0	2	2013-01-01
101	Ã	96307	0.0	2	2013-01-01
101	Ã	96308	2066838.0	2	2013-01-01
101	Ã	96506	0.0	2	2013-01-01
101	Ã	96507	0.0	2	2013-01-01
101	Ã	96801	1179.0	2	2013-01-01
101	Ã	96803	0.0	2	2013-01-01
101	Ä	98010	64700588.75	1	2013-01-01
101	Ä	98020	0.0	1	2013-01-01
101	Ä	98050	63726588.75	2	2013-01-01
101	Ä	98053	0.0	2	2013-01-01
101	Ä	98070	974000.0	2	2013-01-01
101	Â	99998	830927.0	1	2013-01-01
101	Â	99999	277696.0	2	2013-01-01
103	À	10208	1000000.0	2	2013-01-01
103	À	10701	130000.0	2	2013-01-01
103	À	10801	1217699.0	2	2013-01-01
103	À	20202	157609.0	1	2013-01-01
103	À	20209	0.0	1	2013-01-01
103	À	30102	907802.0	1	2013-01-01
103	À	30110	92246.0	1	2013-01-01
103	À	30114	1422179.0	1	2013-01-01
103	À	30126	1761.0	2	2013-01-01
103	À	30202	54208.0	1	2013-01-01
103	À	30204	57814.0	1	2013-01-01
103	À	30232	0.0	2	2013-01-01
103	À	30233	0.0	1	2013-01-01
103	À	30402	1.0	1	2013-01-01
103	À	30602	27.0	1	2013-01-01
103	À	32002	0.0	1	2013-01-01
103	À	32003	0.0	1	2013-01-01
103	À	32004	1200000.0	1	2013-01-01
103	À	32401	1254.0	1	2013-01-01
103	À	32403	1254.0	2	2013-01-01
103	À	32501	1.0	1	2013-01-01
103	À	32505	1.0	2	2013-01-01
103	À	40502	0.0	2	2013-01-01
103	À	40503	5.0	2	2013-01-01
103	À	40602	116889.0	2	2013-01-01
103	À	40701	18222.0	2	2013-01-01
103	À	40702	2961999.0	2	2013-01-01
103	À	40703	6067.0	2	2013-01-01
103	À	40802	33564.0	2	2013-01-01
103	À	40804	0.0	2	2013-01-01
103	À	40805	156.0	2	2013-01-01
103	À	40807	322805.0	2	2013-01-01
103	À	40813	0.0	2	2013-01-01
103	À	40814	287.0	2	2013-01-01
103	À	40817	67967.0	2	2013-01-01
103	À	40820	238.0	2	2013-01-01
103	À	40821	17740.0	2	2013-01-01
103	À	40906	0.0	2	2013-01-01
103	À	40911	0.0	2	2013-01-01
103	À	42301	245830.0	2	2013-01-01
103	À	42305	15880.0	2	2013-01-01
103	À	42306	1215280.0	2	2013-01-01
103	À	42307	304.0	2	2013-01-01
103	À	42309	1193.0	2	2013-01-01
103	À	42601	176.0	2	2013-01-01
103	À	42606	26769.0	2	2013-01-01
103	À	42609	8.0	2	2013-01-01
103	À	45203	30000.0	1	2013-01-01
103	À	45204	620000.0	1	2013-01-01
103	À	45205	0.0	1	2013-01-01
103	À	45206	950000.0	1	2013-01-01
103	À	45207	3025411.0	1	2013-01-01
103	À	45208	482314.0	1	2013-01-01
103	À	45215	43896.0	2	2013-01-01
103	À	45505	140.0	1	2013-01-01
103	À	45506	1429451.0	1	2013-01-01
103	À	45507	512091.0	1	2013-01-01
103	À	45515	60352.0	2	2013-01-01
103	À	45706	2810.0	1	2013-01-01
103	À	45815	2609.0	1	2013-01-01
103	À	45818	2030.0	2	2013-01-01
103	À	45912	0.0	1	2013-01-01
103	À	45915	14.0	1	2013-01-01
103	À	45918	0.0	2	2013-01-01
103	À	47405	0.0	2	2013-01-01
103	À	47407	0.0	2	2013-01-01
103	À	47408	0.0	1	2013-01-01
103	À	47411	10626.0	2	2013-01-01
103	À	47416	5194.0	2	2013-01-01
103	À	47422	6.0	2	2013-01-01
103	À	47423	2296.0	1	2013-01-01
103	À	47425	7384.0	2	2013-01-01
103	À	47427	79954.0	1	2013-01-01
103	À	50307	101318.0	1	2013-01-01
103	À	51401	0.0	1	2013-01-01
103	À	51403	168065.0	1	2013-01-01
103	À	51404	543447.0	1	2013-01-01
103	À	51405	471703.0	1	2013-01-01
103	À	52301	0.0	2	2013-01-01
103	À	52303	6834.0	2	2013-01-01
103	À	52304	914.0	2	2013-01-01
103	À	52305	2050574.0	2	2013-01-01
103	À	52306	2076761.0	2	2013-01-01
103	À	52307	314868.0	2	2013-01-01
103	À	52501	35952.0	2	2013-01-01
103	À	60301	0.0	2	2013-01-01
103	À	60302	203.0	1	2013-01-01
103	À	60305	34.0	2	2013-01-01
103	À	60307	0.0	2	2013-01-01
103	À	60308	0.0	1	2013-01-01
103	À	60309	313.0	2	2013-01-01
103	À	60310	313.0	1	2013-01-01
103	À	60312	1159.0	1	2013-01-01
103	À	60314	939.0	1	2013-01-01
103	À	60401	101856.0	1	2013-01-01
103	À	60601	20608.0	2	2013-01-01
103	À	60701	0.0	1	2013-01-01
103	À	61002	176.0	1	2013-01-01
103	À	61008	224.0	1	2013-01-01
103	À	61009	157.0	1	2013-01-01
103	À	61011	245185.0	1	2013-01-01
103	À	61209	0.0	1	2013-01-01
103	À	61210	0.0	1	2013-01-01
103	À	61304	534.0	2	2013-01-01
103	À	61403	3021.0	1	2013-01-01
103	À	70601	2390647.0	2	2013-01-01
103	À	70603	5280927.0	2	2013-01-01
103	À	70605	13.0	2	2013-01-01
103	À	70606	1626111.0	1	2013-01-01
103	À	70608	5267518.0	1	2013-01-01
103	À	70610	20.0	1	2013-01-01
103	À	70611	148915.0	1	2013-01-01
103	Â	90701	1.0	1	2013-01-01
103	Â	90704	0.0	1	2013-01-01
103	Â	90705	0.0	1	2013-01-01
103	Â	90901	11539.0	1	2013-01-01
103	Â	90902	219279.0	1	2013-01-01
103	Â	91003	0.0	2	2013-01-01
103	Â	91004	0.0	2	2013-01-01
103	Â	91101	3.0	1	2013-01-01
103	Â	91202	2.0	1	2013-01-01
